Names,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Average Stats,Type Combination,Atk-Def Ratio,Rank,Image_URL
Magikarp,Water,null,200,20,10,55,15,20,80,33.33333333,Water,0.181818182,1181,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
Gyarados,Water,Flying,540,95,125,79,60,100,81,90,Water-Flying,1.582278481,206,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
Mega  Gyarados,Water,Dark,640,95,155,109,70,130,81,106.6666667,Water-Dark,1.422018349,53,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
Lapras,Water,Ice,535,130,85,80,85,95,60,89.16666667,Water-Ice,1.0625,217,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
Ditto,Normal,null,288,48,48,48,48,48,48,48,Normal,1,1065,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
Eevee,Normal,null,325,55,55,50,45,65,55,54.16666667,Normal,1.1,914,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
Partner  Eevee,Normal,null,435,65,75,70,65,85,75,72.5,Normal,1.071428571,666,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
Vaporeon,Water,null,525,130,65,60,110,95,65,87.5,Water,1.083333333,265,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
Jolteon,Electric,null,525,65,65,60,110,95,130,87.5,Electric,1.083333333,265,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
Flareon,Fire,null,525,65,130,60,95,110,65,87.5,Fire,2.166666667,265,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
Porygon,Normal,null,395,65,60,70,85,75,40,65.83333333,Normal,0.857142857,785,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
Omanyte,Rock,Water,355,35,40,100,90,55,35,59.16666667,Rock-Water,0.4,838,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
Omastar,Rock,Water,495,70,60,125,115,70,55,82.5,Rock-Water,0.48,408,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
Kabuto,Rock,Water,355,30,80,90,55,45,55,59.16666667,Rock-Water,0.888888889,838,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
Kabutops,Rock,Water,495,60,115,105,65,70,80,82.5,Rock-Water,1.095238095,408,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,85.83333333,Rock-Flying,1.615384615,308,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
Mega  Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,102.5,Rock-Flying,1.588235294,67,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
Snorlax,Normal,null,540,160,110,65,65,110,30,90,Normal,1.692307692,206,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
Articuno,Ice,Flying,580,90,85,100,95,125,85,96.66666667,Ice-Flying,0.85,125,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
Galarian  Articuno,Psychic,Flying,580,90,85,85,125,100,95,96.66666667,Psychic-Flying,1,125,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png
Zapdos,Electric,Flying,580,90,90,85,125,90,100,96.66666667,Electric-Flying,1.058823529,125,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
Galarian  Zapdos,Fighting,Flying,580,90,125,90,85,90,100,96.66666667,Fighting-Flying,1.388888889,125,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png
Moltres,Fire,Flying,580,90,100,90,125,85,90,96.66666667,Fire-Flying,1.111111111,125,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
Galarian  Moltres,Dark,Flying,580,90,85,90,100,125,90,96.66666667,Dark-Flying,0.944444444,125,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png
Dratini,Dragon,null,300,41,64,45,50,50,50,50,Dragon,1.422222222,1012,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
Dragonair,Dragon,null,420,61,84,65,70,70,70,70,Dragon,1.292307692,697,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,100,Dragon-Flying,1.410526316,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
Mewtwo,Psychic,null,680,106,110,90,154,90,130,113.3333333,Psychic,1.222222222,22,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
Mega  Mewtwo  X,Psychic,Fighting,780,106,190,100,154,100,130,130,Psychic-Fighting,1.9,2,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
Mega  Mewtwo  Y,Psychic,null,780,106,150,70,194,120,140,130,Psychic,2.142857143,2,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
Mew,Psychic,null,600,100,100,100,100,100,100,100,Psychic,1,70,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
Chikorita,Grass,null,318,45,49,65,49,65,45,53,Grass,0.753846154,941,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
Bayleef,Grass,null,405,60,62,80,63,80,60,67.5,Grass,0.775,750,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
Meganium,Grass,null,525,80,82,100,83,100,80,87.5,Grass,0.82,265,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
Cyndaquil,Fire,null,309,39,52,43,60,50,65,51.5,Fire,1.209302326,977,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
Quilava,Fire,null,405,58,64,58,80,65,80,67.5,Fire,1.103448276,750,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
Typhlosion,Fire,null,534,78,84,78,109,85,100,89,Fire,1.076923077,228,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
Hisuian  Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,89,Fire-Ghost,1.076923077,228,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png
Totodile,Water,null,314,50,65,64,44,48,43,52.33333333,Water,1.015625,954,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
Croconaw,Water,null,405,65,80,80,59,63,58,67.5,Water,1,750,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
Feraligatr,Water,null,530,85,105,100,79,83,78,88.33333333,Water,1.05,235,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
Sentret,Normal,null,215,35,46,34,35,45,20,35.83333333,Normal,1.352941176,1167,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
Furret,Normal,null,415,85,76,64,45,55,90,69.16666667,Normal,1.1875,724,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
Hoothoot,Normal,Flying,262,60,30,30,36,56,50,43.66666667,Normal-Flying,1,1117,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
Noctowl,Normal,Flying,452,100,50,50,86,96,70,75.33333333,Normal-Flying,1,633,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
Ledyba,Bug,Flying,265,40,20,30,40,80,55,44.16666667,Bug-Flying,0.666666667,1109,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
Ledian,Bug,Flying,390,55,35,50,55,110,85,65,Bug-Flying,0.7,791,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
Spinarak,Bug,Poison,250,40,60,40,40,40,30,41.66666667,Bug-Poison,1.5,1132,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
Ariados,Bug,Poison,400,70,90,70,60,70,40,66.66666667,Bug-Poison,1.285714286,778,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
Crobat,Poison,Flying,535,85,90,80,70,80,130,89.16666667,Poison-Flying,1.125,217,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
Chinchou,Water,Electric,330,75,38,38,56,56,67,55,Water-Electric,1,892,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
Lanturn,Water,Electric,460,125,58,58,76,76,67,76.66666667,Water-Electric,1,598,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
Pichu,Electric,null,205,20,40,15,35,35,60,34.16666667,Electric,2.666666667,1176,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
Cleffa,Fairy,null,218,50,25,28,45,55,15,36.33333333,Fairy,0.892857143,1166,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,35,Normal-Fairy,2,1169,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
Togepi,Fairy,null,245,35,20,65,40,65,20,40.83333333,Fairy,0.307692308,1141,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
Togetic,Fairy,Flying,405,55,40,85,80,105,40,67.5,Fairy-Flying,0.470588235,750,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
Natu,Psychic,Flying,320,40,50,45,70,45,70,53.33333333,Psychic-Flying,1.111111111,926,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
Xatu,Psychic,Flying,470,65,75,70,95,70,95,78.33333333,Psychic-Flying,1.071428571,568,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
Mareep,Electric,null,280,55,40,40,65,45,35,46.66666667,Electric,1,1075,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
Flaaffy,Electric,null,365,70,55,55,80,60,45,60.83333333,Electric,1,823,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
Ampharos,Electric,null,510,90,75,85,115,90,55,85,Electric,0.882352941,320,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
Mega  Ampharos,Electric,Dragon,610,90,95,105,165,110,45,101.6666667,Electric-Dragon,0.904761905,68,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
Bellossom,Grass,null,490,75,80,95,90,100,50,81.66666667,Grass,0.842105263,434,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
Marill,Water,Fairy,250,70,20,50,20,50,40,41.66666667,Water-Fairy,0.4,1132,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
Azumarill,Water,Fairy,420,100,50,80,60,80,50,70,Water-Fairy,0.625,697,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
Sudowoodo,Rock,null,410,70,100,115,30,65,30,68.33333333,Rock,0.869565217,733,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
Politoed,Water,null,500,90,75,75,90,100,70,83.33333333,Water,1,365,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
Hoppip,Grass,Flying,250,35,35,40,35,55,50,41.66666667,Grass-Flying,0.875,1132,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
Skiploom,Grass,Flying,340,55,45,50,45,65,80,56.66666667,Grass-Flying,0.9,867,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
Jumpluff,Grass,Flying,460,75,55,70,55,95,110,76.66666667,Grass-Flying,0.785714286,598,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
Aipom,Normal,null,360,55,70,55,40,55,85,60,Normal,1.272727273,831,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
Sunkern,Grass,null,180,30,30,30,30,30,30,30,Grass,1,1192,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
Sunflora,Grass,null,425,75,75,55,105,85,30,70.83333333,Grass,1.363636364,684,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
Yanma,Bug,Flying,390,65,65,45,75,45,95,65,Bug-Flying,1.444444444,791,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
Wooper,Water,Ground,210,55,45,45,25,25,15,35,Water-Ground,1,1169,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
Paldean  Wooper,Poison,Ground,210,55,45,45,25,25,15,35,Poison-Ground,1,1169,https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper-paldean.png
Quagsire,Water,Ground,430,95,85,85,65,65,35,71.66666667,Water-Ground,1,673,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
Espeon,Psychic,null,525,65,65,60,130,95,110,87.5,Psychic,1.083333333,265,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
Umbreon,Dark,null,525,95,65,110,60,130,65,87.5,Dark,0.590909091,265,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
Murkrow,Dark,Flying,405,60,85,42,85,42,91,67.5,Dark-Flying,2.023809524,750,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
Slowking,Water,Psychic,490,95,75,80,100,110,30,81.66666667,Water-Psychic,0.9375,434,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
Galarian  Slowking,Poison,Psychic,490,95,65,80,110,110,30,81.66666667,Poison-Psychic,0.8125,434,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png
Misdreavus,Ghost,null,435,60,60,60,85,85,85,72.5,Ghost,1,666,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
Unown,Psychic,null,336,48,72,48,72,48,48,56,Psychic,1.5,878,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
Wobbuffet,Psychic,null,405,190,33,58,33,58,33,67.5,Psychic,0.568965517,750,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
Girafarig,Normal,Psychic,455,70,80,65,90,65,85,75.83333333,Normal-Psychic,1.230769231,618,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
Pineco,Bug,null,290,50,65,90,35,35,15,48.33333333,Bug,0.722222222,1052,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
Forretress,Bug,Steel,465,75,90,140,60,60,40,77.5,Bug-Steel,0.642857143,587,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
Dunsparce,Normal,null,415,100,70,70,65,65,45,69.16666667,Normal,1,724,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
Gligar,Ground,Flying,430,65,75,105,35,65,85,71.66666667,Ground-Flying,0.714285714,673,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
Steelix,Steel,Ground,510,75,85,200,55,65,30,85,Steel-Ground,0.425,320,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
Mega  Steelix,Steel,Ground,610,75,125,230,55,95,30,101.6666667,Steel-Ground,0.543478261,68,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png
Snubbull,Fairy,null,300,60,80,50,40,40,30,50,Fairy,1.6,1012,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
Granbull,Fairy,null,450,90,120,75,60,60,45,75,Fairy,1.6,637,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
Qwilfish,Water,Poison,440,65,95,85,55,55,85,73.33333333,Water-Poison,1.117647059,652,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
Hisuian  Qwilfish,Dark,Poison,440,65,95,85,55,55,85,73.33333333,Dark-Poison,1.117647059,652,https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish-hisuian.png
Scizor,Bug,Steel,500,70,130,100,55,80,65,83.33333333,Bug-Steel,1.3,365,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
Mega  Scizor,Bug,Steel,600,70,150,140,65,100,75,100,Bug-Steel,1.071428571,70,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png
Shuckle,Bug,Rock,505,20,10,230,10,230,5,84.16666667,Bug-Rock,0.043478261,347,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
Heracross,Bug,Fighting,500,80,125,75,40,95,85,83.33333333,Bug-Fighting,1.666666667,365,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
Mega  Heracross,Bug,Fighting,600,80,185,115,40,105,75,100,Bug-Fighting,1.608695652,70,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png
Sneasel,Dark,Ice,430,55,95,55,35,75,115,71.66666667,Dark-Ice,1.727272727,673,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png
Hisuian  Sneasel,Fighting,Poison,430,55,95,55,35,75,115,71.66666667,Fighting-Poison,1.727272727,673,https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel-hisuian.png
Teddiursa,Normal,null,330,60,80,50,50,50,40,55,Normal,1.6,892,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png
Ursaring,Normal,null,500,90,130,75,75,75,55,83.33333333,Normal,1.733333333,365,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png
Slugma,Fire,null,250,40,40,40,70,40,20,41.66666667,Fire,1,1132,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png
Magcargo,Fire,Rock,430,60,50,120,90,80,30,71.66666667,Fire-Rock,0.416666667,673,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png
Swinub,Ice,Ground,250,50,50,40,30,30,50,41.66666667,Ice-Ground,1.25,1132,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png
Piloswine,Ice,Ground,450,100,100,80,60,60,50,75,Ice-Ground,1.25,637,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png
Corsola,Water,Rock,410,65,55,95,65,95,35,68.33333333,Water-Rock,0.578947368,733,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png
Galarian  Corsola,Ghost,null,410,60,55,100,65,100,30,68.33333333,Ghost,0.55,733,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png
Remoraid,Water,null,300,35,65,35,65,35,65,50,Water,1.857142857,1012,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png
Octillery,Water,null,480,75,105,75,105,75,45,80,Water,1.4,512,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png
Delibird,Ice,Flying,330,45,55,45,65,45,75,55,Ice-Flying,1.222222222,892,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png
Mantine,Water,Flying,485,85,40,70,80,140,70,80.83333333,Water-Flying,0.571428571,479,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png
Skarmory,Steel,Flying,465,65,80,140,40,70,70,77.5,Steel-Flying,0.571428571,587,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png
Houndour,Dark,Fire,330,45,60,30,80,50,65,55,Dark-Fire,2,892,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png
Houndoom,Dark,Fire,500,75,90,50,110,80,95,83.33333333,Dark-Fire,1.8,365,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png
Mega  Houndoom,Dark,Fire,600,75,90,90,140,90,115,100,Dark-Fire,1,70,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png
Kingdra,Water,Dragon,540,75,95,95,95,95,85,90,Water-Dragon,1,206,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png
Phanpy,Ground,null,330,90,60,60,40,40,40,55,Ground,1,892,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png
Donphan,Ground,null,500,90,120,120,60,60,50,83.33333333,Ground,1,365,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png
Porygon2,Normal,null,515,85,80,90,105,95,60,85.83333333,Normal,0.888888889,308,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png
Stantler,Normal,null,465,73,95,62,85,65,85,77.5,Normal,1.532258065,587,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png
Smeargle,Normal,null,250,55,20,35,20,45,75,41.66666667,Normal,0.571428571,1132,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png
Tyrogue,Fighting,null,210,35,35,35,35,35,35,35,Fighting,1,1169,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png
Hitmontop,Fighting,null,455,50,95,95,35,110,70,75.83333333,Fighting,1,618,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png
Smoochum,Ice,Psychic,305,45,30,15,85,65,65,50.83333333,Ice-Psychic,2,988,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png
Elekid,Electric,null,360,45,63,37,65,55,95,60,Electric,1.702702703,831,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png
Magby,Fire,null,365,45,75,37,70,55,83,60.83333333,Fire,2.027027027,823,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png
Miltank,Normal,null,490,95,80,105,40,70,100,81.66666667,Normal,0.761904762,434,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png
Blissey,Normal,null,540,255,10,10,75,135,55,90,Normal,1,206,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png
Raikou,Electric,null,580,90,85,75,115,100,115,96.66666667,Electric,1.133333333,125,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png
Entei,Fire,null,580,115,115,85,90,75,100,96.66666667,Fire,1.352941176,125,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png
Suicune,Water,null,580,100,75,115,90,115,85,96.66666667,Water,0.652173913,125,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png
Larvitar,Rock,Ground,300,50,64,50,45,50,41,50,Rock-Ground,1.28,1012,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png
Pupitar,Rock,Ground,410,70,84,70,65,70,51,68.33333333,Rock-Ground,1.2,733,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png
Tyranitar,Rock,Dark,600,100,134,110,95,100,61,100,Rock-Dark,1.218181818,70,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png
Mega  Tyranitar,Rock,Dark,700,100,164,150,95,120,71,116.6666667,Rock-Dark,1.093333333,10,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png
Lugia,Psychic,Flying,680,106,90,130,90,154,110,113.3333333,Psychic-Flying,0.692307692,22,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png
Ho-oh,Fire,Flying,680,106,130,90,110,154,90,113.3333333,Fire-Flying,1.444444444,22,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png
Celebi,Psychic,Grass,600,100,100,100,100,100,100,100,Psychic-Grass,1,70,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png
Treecko,Grass,null,310,40,45,35,65,55,70,51.66666667,Grass,1.285714286,960,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png
Grovyle,Grass,null,405,50,65,45,85,65,95,67.5,Grass,1.444444444,750,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png
Sceptile,Grass,null,530,70,85,65,105,85,120,88.33333333,Grass,1.307692308,235,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png
Mega  Sceptile,Grass,Dragon,630,70,110,75,145,85,145,105,Grass-Dragon,1.466666667,58,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png
Torchic,Fire,null,310,45,60,40,70,50,45,51.66666667,Fire,1.5,960,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png
Combusken,Fire,Fighting,405,60,85,60,85,60,55,67.5,Fire-Fighting,1.416666667,750,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png
Blaziken,Fire,Fighting,530,80,120,70,110,70,80,88.33333333,Fire-Fighting,1.714285714,235,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png
Mega  Blaziken,Fire,Fighting,630,80,160,80,130,80,100,105,Fire-Fighting,2,58,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png
Mudkip,Water,null,310,50,70,50,50,50,40,51.66666667,Water,1.4,960,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png
Marshtomp,Water,Ground,405,70,85,70,60,70,50,67.5,Water-Ground,1.214285714,750,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png
Swampert,Water,Ground,535,100,110,90,85,90,60,89.16666667,Water-Ground,1.222222222,217,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png
Mega  Swampert,Water,Ground,635,100,150,110,95,110,70,105.8333333,Water-Ground,1.363636364,55,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png
Poochyena,Dark,null,220,35,55,35,30,30,35,36.66666667,Dark,1.571428571,1162,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png
Mightyena,Dark,null,420,70,90,70,60,60,70,70,Dark,1.285714286,697,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png
Zigzagoon,Normal,null,240,38,30,41,30,41,60,40,Normal,0.731707317,1150,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png
Galarian  Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,40,Dark-Normal,0.731707317,1150,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png
Linoone,Normal,null,420,78,70,61,50,61,100,70,Normal,1.147540984,697,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png
Galarian  Linoone,Dark,Normal,420,78,70,61,50,61,100,70,Dark-Normal,1.147540984,697,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png
Wurmple,Bug,null,195,45,45,35,20,30,20,32.5,Bug,1.285714286,1186,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png
Silcoon,Bug,null,205,50,35,55,25,25,15,34.16666667,Bug,0.636363636,1176,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png
Beautifly,Bug,Flying,395,60,70,50,100,50,65,65.83333333,Bug-Flying,1.4,785,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png
Cascoon,Bug,null,205,50,35,55,25,25,15,34.16666667,Bug,0.636363636,1176,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png
Dustox,Bug,Poison,385,60,50,70,50,90,65,64.16666667,Bug-Poison,0.714285714,799,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png
Lotad,Water,Grass,220,40,30,30,40,50,30,36.66666667,Water-Grass,1,1162,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png
Lombre,Water,Grass,340,60,50,50,60,70,50,56.66666667,Water-Grass,1,867,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png
Ludicolo,Water,Grass,480,80,70,70,90,100,70,80,Water-Grass,1,512,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png
Seedot,Grass,null,220,40,40,50,30,30,30,36.66666667,Grass,0.8,1162,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png
Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,56.66666667,Grass-Dark,1.75,867,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png
Shiftry,Grass,Dark,480,90,100,60,90,60,80,80,Grass-Dark,1.666666667,512,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png
Taillow,Normal,Flying,270,40,55,30,30,30,85,45,Normal-Flying,1.833333333,1098,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png
Swellow,Normal,Flying,455,60,85,60,75,50,125,75.83333333,Normal-Flying,1.416666667,618,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png
Wingull,Water,Flying,270,40,30,30,55,30,85,45,Water-Flying,1,1098,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png
Pelipper,Water,Flying,440,60,50,100,95,70,65,73.33333333,Water-Flying,0.5,652,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png
Ralts,Psychic,Fairy,198,28,25,25,45,35,40,33,Psychic-Fairy,1,1185,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png
Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,46.33333333,Psychic-Fairy,1,1087,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png
Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,86.33333333,Psychic-Fairy,1,305,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png
